"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","482","Knative Eventing","features","Sun May 11 21:32:26 UTC 2025","passed","Sun May 11 21:32:26 UTC 2025","","Mindwm event driven architecture","",""
"","103331","Prepare environment, context: tratata, username: ci, host: localhost","features","Sun May 11 22:16:00 UTC 2025","passed","Sun May 11 22:17:44 UTC 2025","","MindWM manager integration test","",""
"","10395","Create User","features","Sun May 11 21:37:03 UTC 2025","passed","Sun May 11 21:37:13 UTC 2025","","MindWM Custom Resource Definition","",""
"","76427","Send ping via nats host: workstation01, user: shesha","features","Sun May 11 22:02:17 UTC 2025","passed","Sun May 11 22:03:33 UTC 2025","","MindWM two hosts one user function test","",""
"","176","Check net-istio pods","features","Sun May 11 21:43:05 UTC 2025","passed","Sun May 11 21:43:05 UTC 2025","","Knative-Serving net-istio","",""
"","10365","Create Host workstation","features","Sun May 11 21:40:18 UTC 2025","passed","Sun May 11 21:40:28 UTC 2025","","MindWM Custom kubernetes resources","",""
"","209","Cleanup godzilla username","features","Sun May 11 22:11:05 UTC 2025","passed","Sun May 11 22:11:05 UTC 2025","","MindWM two users one context function test","",""
"","224","Cleanup garmr@helheim in blue","features","Sun May 11 21:53:16 UTC 2025","passed","Sun May 11 21:53:16 UTC 2025","","MindWM kafka_cdc function test","",""
"","84470","Send iodocument via nats host: workstation01, user: shesha and check that second host received graph the update","features","Sun May 11 22:04:51 UTC 2025","passed","Sun May 11 22:06:15 UTC 2025","","MindWM two hosts one user function test","",""
"","86275","Send ping directly to function broker-ingress.knative-eventing/user-flukeman/user-broker","features","Sun May 11 21:57:37 UTC 2025","passed","Sun May 11 21:59:03 UTC 2025","","MindWM clipboard EDA test","",""
"","309","Cleanup user shesha and context varanasi","features","Sun May 11 22:06:15 UTC 2025","passed","Sun May 11 22:06:16 UTC 2025","","MindWM two hosts one user function test","",""
"","615686","Deploy Mindwm Cluster and Applications","features","Sun May 11 21:22:09 UTC 2025","passed","Sun May 11 21:32:24 UTC 2025","","Mindwm Lifecycle Management","",""
"","86020","Send ping directly to function broker-ingress.knative-eventing/context-philadelphia/context-broker","features","Sun May 11 21:56:11 UTC 2025","passed","Sun May 11 21:57:37 UTC 2025","","MindWM clipboard EDA test","",""
"","201","Cleanup hosts travellaptop in user shesha","features","Sun May 11 22:06:15 UTC 2025","passed","Sun May 11 22:06:15 UTC 2025","","MindWM two hosts one user function test","",""
"","10141","Create travellaptop for user shesha","features","Sun May 11 22:02:06 UTC 2025","passed","Sun May 11 22:02:16 UTC 2025","","MindWM two hosts one user function test","",""
"","373","Crossplane","features","Sun May 11 21:32:28 UTC 2025","passed","Sun May 11 21:32:29 UTC 2025","","Mindwm event driven architecture","",""
"","162511","Prepare environment, context: cyan","features","Sun May 11 21:37:25 UTC 2025","passed","Sun May 11 21:40:07 UTC 2025","","MindWM Custom kubernetes resources","",""
"","10133","Create tablet resource and connects it to tengu user","features","Sun May 11 22:08:12 UTC 2025","passed","Sun May 11 22:08:22 UTC 2025","","MindWM two users one context function test","",""
"","72193","Send ping via nats topic ""org.mindwm.amanda4.pi6-host.L3RtcC90bXV4LTEwMDAvZGVmYXVsdA==.09fb195c-c419-6d62-15e0-51b6ee990922.3623.iodocument""","features","Sun May 11 21:44:24 UTC 2025","passed","Sun May 11 21:45:36 UTC 2025","","MindWM Ping-pong EDA test","",""
"","178531","Create Contexts and Verify All Related Resources Are in Ready State","features","Sun May 11 22:12:32 UTC 2025","passed","Sun May 11 22:15:31 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","35200","Mindwm-manager integration test","features","Sun May 11 22:17:44 UTC 2025","passed","Sun May 11 22:18:19 UTC 2025","","MindWM manager integration test","",""
"","157023","Delete Resources and Verify Cleanup","features","Sun May 11 21:40:28 UTC 2025","passed","Sun May 11 21:43:05 UTC 2025","","MindWM Custom kubernetes resources","",""
"","11363","Create Host","features","Sun May 11 21:37:13 UTC 2025","passed","Sun May 11 21:37:25 UTC 2025","","MindWM Custom Resource Definition","",""
"","197","Cleanup tablet host for tengu username","features","Sun May 11 22:11:05 UTC 2025","passed","Sun May 11 22:11:05 UTC 2025","","MindWM two users one context function test","",""
