"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 14:52:48 GMT 2024","Sat Sep 21 14:53:00 GMT 2024","11192","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Host and check k8s resources]",""
"passed","Sat Sep 21 14:50:22 GMT 2024","Sat Sep 21 14:50:23 GMT 2024","112","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Cert manager]",""
"passed","Sat Sep 21 14:53:00 GMT 2024","Sat Sep 21 14:54:20 GMT 2024","80778","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Delete Resources and Verify Cleanup]",""
"passed","Sat Sep 21 14:50:43 GMT 2024","Sat Sep 21 14:50:54 GMT 2024","11228","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Host]",""
"passed","Sat Sep 21 14:50:22 GMT 2024","Sat Sep 21 14:50:22 GMT 2024","122","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Istio]",""
"passed","Sat Sep 21 14:50:22 GMT 2024","Sat Sep 21 14:50:22 GMT 2024","191","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Redpanda]",""
"passed","Sat Sep 21 14:50:54 GMT 2024","Sat Sep 21 14:50:57 GMT 2024","3404","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Delete Resources and Verify Cleanup]",""
"passed","Sat Sep 21 14:50:22 GMT 2024","Sat Sep 21 14:50:22 GMT 2024","398","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Knative]",""
"passed","Sat Sep 21 14:52:37 GMT 2024","Sat Sep 21 14:52:48 GMT 2024","11220","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create User and check k8s resources]",""
"passed","Sat Sep 21 14:50:23 GMT 2024","Sat Sep 21 14:50:23 GMT 2024","276","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Monitoring]",""
"passed","Sat Sep 21 14:50:23 GMT 2024","Sat Sep 21 14:50:23 GMT 2024","125","features","0_1_mindwm_eda","","","","test_scenarios[file:features/0_1_mindwm_eda.feature-Mindwm event driven architecture-Nats]",""
"passed","Sat Sep 21 14:33:28 GMT 2024","Sat Sep 21 14:50:22 GMT 2024","1013455","features","0_0_mindwm_lifecycle","","","","test_scenarios[file:features/0_0_mindwm_lifecycle.feature-Mindwm Lifecycle Management-Deploy Mindwm Cluster and Applications]",""
"passed","Sat Sep 21 14:50:23 GMT 2024","Sat Sep 21 14:50:24 GMT 2024","1078","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create Context]",""
"passed","Sat Sep 21 14:50:57 GMT 2024","Sat Sep 21 14:52:37 GMT 2024","99907","features","2_mindwm_crd_resources","","","","test_scenarios[file:features/2_mindwm_crd_resources.feature-MindWM Custom kubernetes resources-Create Context and check k8s resources]",""
"passed","Sat Sep 21 14:50:24 GMT 2024","Sat Sep 21 14:50:43 GMT 2024","18531","features","1_mindwm_crd","","","","test_scenarios[file:features/1_mindwm_crd.feature-MindWM Custom Resource Definition-Create User]",""
"failed","Sat Sep 21 14:54:20 GMT 2024","Sat Sep 21 14:54:50 GMT 2024","29623","features","3_mindwm_ping_pong","","","","test_scenarios[file:features/3_mindwm_ping_pong.feature-MindWM Ping-pong EDA test-Ping green4[table_rows:[line: 47]]]",""
