"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Sun Jun 08 09:05:32 UTC 2025","passed","Sun Jun 08 09:05:33 UTC 2025","","MindWM Custom kubernetes resources","",""
"","77234","Send ping via nats host: travellaptop, user: shesha","features","Sun Jun 08 09:28:47 UTC 2025","passed","Sun Jun 08 09:30:04 UTC 2025","","MindWM two hosts one user function test","",""
"","48590","""Create"" data capture event","features","Sun Jun 08 09:15:36 UTC 2025","passed","Sun Jun 08 09:16:24 UTC 2025","","MindWM kafka_cdc function test","",""
"","104582","Prepare environment, context: tratata, username: ci, host: localhost","features","Sun Jun 08 09:41:44 UTC 2025","passed","Sun Jun 08 09:43:29 UTC 2025","","MindWM manager integration test","",""
"","1205","Cleanup user shesha and context varanasi","features","Sun Jun 08 09:31:29 UTC 2025","passed","Sun Jun 08 09:31:30 UTC 2025","","MindWM two hosts one user function test","",""
"","10336","Create User","features","Sun Jun 08 09:01:44 UTC 2025","passed","Sun Jun 08 09:01:54 UTC 2025","","MindWM Custom Resource Definition","",""
"","259","Delete Resources and Verify Cleanup","features","Sun Jun 08 09:02:16 UTC 2025","passed","Sun Jun 08 09:02:16 UTC 2025","","MindWM Custom Resource Definition","",""
"","18215","Cleanup Contexts and Verify Resources Are Deleted","features","Sun Jun 08 09:41:26 UTC 2025","passed","Sun Jun 08 09:41:44 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","10141","Create travellaptop for user shesha","features","Sun Jun 08 09:27:20 UTC 2025","passed","Sun Jun 08 09:27:30 UTC 2025","","MindWM two hosts one user function test","",""
"","86412","Send ping directly to function broker-ingress.knative-eventing/user-flukeman/user-broker","features","Sun Jun 08 09:22:43 UTC 2025","passed","Sun Jun 08 09:24:10 UTC 2025","","MindWM clipboard EDA test","",""
"","101","Cleanup laptop host for godzilla username","features","Sun Jun 08 09:36:30 UTC 2025","passed","Sun Jun 08 09:36:30 UTC 2025","","MindWM two users one context function test","",""
"","114351","Create environment","features","Sun Jun 08 09:13:41 UTC 2025","passed","Sun Jun 08 09:15:36 UTC 2025","","MindWM kafka_cdc function test","",""
"","321","Redpanda","features","Sun Jun 08 08:56:50 UTC 2025","passed","Sun Jun 08 08:56:50 UTC 2025","","Mindwm event driven architecture","",""
"","854","Monitoring","features","Sun Jun 08 08:56:50 UTC 2025","passed","Sun Jun 08 08:56:51 UTC 2025","","Mindwm event driven architecture","",""
"","147043","Delete Resources and Verify Cleanup","features","Sun Jun 08 09:05:33 UTC 2025","passed","Sun Jun 08 09:08:00 UTC 2025","","MindWM Custom kubernetes resources","",""
"","178369","Create Contexts and Verify All Related Resources Are in Ready State","features","Sun Jun 08 09:38:09 UTC 2025","passed","Sun Jun 08 09:41:08 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","1544","Cleanup tengu username","features","Sun Jun 08 09:36:30 UTC 2025","passed","Sun Jun 08 09:36:32 UTC 2025","","MindWM two users one context function test","",""
"","96473","Prepare environment, context: tokyo","features","Sun Jun 08 09:31:30 UTC 2025","passed","Sun Jun 08 09:33:06 UTC 2025","","MindWM two users one context function test","",""
"","84318","Send cloudevent to ""broker-ingress.knative-eventing/context-red/context-broker""","features","Sun Jun 08 09:12:17 UTC 2025","passed","Sun Jun 08 09:13:41 UTC 2025","","MindWM io context function test","",""
"","194","Cleanup flukeman@the-host in philadelphia","features","Sun Jun 08 09:25:27 UTC 2025","passed","Sun Jun 08 09:25:27 UTC 2025","","MindWM clipboard EDA test","",""
"","77485","Send ping via nats topic ""org.mindwm.flukeman.the-host.clipboard""","features","Sun Jun 08 09:24:10 UTC 2025","passed","Sun Jun 08 09:25:27 UTC 2025","","MindWM clipboard EDA test","",""
"","71015","Create mindwm python function magika","features","Sun Jun 08 09:04:21 UTC 2025","passed","Sun Jun 08 09:05:32 UTC 2025","","MindWM Custom kubernetes resources","",""
"","74531","Verification that the io-document has been delivered and processed","features","Sun Jun 08 09:44:02 UTC 2025","passed","Sun Jun 08 09:45:17 UTC 2025","","MindWM manager integration test","",""
"","154","Check net-istio pods","features","Sun Jun 08 09:08:00 UTC 2025","passed","Sun Jun 08 09:08:00 UTC 2025","","Knative-Serving net-istio","",""
"","173","Cleanup garmr@helheim in blue","features","Sun Jun 08 09:18:19 UTC 2025","passed","Sun Jun 08 09:18:19 UTC 2025","","MindWM kafka_cdc function test","",""
