"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10170","Create tengu and connects it to tokyo","features","Tue May 13 17:02:22 UTC 2025","passed","Tue May 13 17:02:32 UTC 2025","","MindWM two users one context function test","",""
"","59","Create Context","features","Tue May 13 16:31:11 UTC 2025","passed","Tue May 13 16:31:11 UTC 2025","","MindWM Custom Resource Definition","",""
"","87031","Send ping directly to function broker-ingress.knative-eventing/user-flukeman/user-broker","features","Tue May 13 16:51:53 UTC 2025","passed","Tue May 13 16:53:20 UTC 2025","","MindWM clipboard EDA test","",""
"","622","Monitoring","features","Tue May 13 16:26:22 UTC 2025","passed","Tue May 13 16:26:23 UTC 2025","","Mindwm event driven architecture","",""
"","151158","Delete Resources and Verify Cleanup","features","Tue May 13 16:34:20 UTC 2025","passed","Tue May 13 16:36:52 UTC 2025","","MindWM Custom kubernetes resources","",""
"","347","Cert manager","features","Tue May 13 16:26:22 UTC 2025","passed","Tue May 13 16:26:22 UTC 2025","","Mindwm event driven architecture","",""
"","76477","Send ping via nats host: travellaptop, user: shesha","features","Tue May 13 16:57:56 UTC 2025","passed","Tue May 13 16:59:13 UTC 2025","","MindWM two hosts one user function test","",""
"","85575","Send iodocument via nats host: workstation01, user: shesha and check that second host received graph the update","features","Tue May 13 16:59:13 UTC 2025","passed","Tue May 13 17:00:38 UTC 2025","","MindWM two hosts one user function test","",""
"","592","Knative Eventing","features","Tue May 13 16:26:20 UTC 2025","passed","Tue May 13 16:26:20 UTC 2025","","Mindwm event driven architecture","",""
"","92191","Create Contexts and Verify All Related Resources Are in Ready State","features","Tue May 13 17:05:39 UTC 2025","passed","Tue May 13 17:07:11 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","49035","""Create"" data capture event","features","Tue May 13 16:44:38 UTC 2025","passed","Tue May 13 16:45:27 UTC 2025","","MindWM kafka_cdc function test","",""
"","110","Cleanup hosts workstation01 in user shesha","features","Tue May 13 17:00:38 UTC 2025","passed","Tue May 13 17:00:38 UTC 2025","","MindWM two hosts one user function test","",""
"","10276","Create User bob","features","Tue May 13 16:34:00 UTC 2025","passed","Tue May 13 16:34:10 UTC 2025","","MindWM Custom kubernetes resources","",""
"","230","Cleanup tokyo context","features","Tue May 13 17:05:39 UTC 2025","passed","Tue May 13 17:05:39 UTC 2025","","MindWM two users one context function test","",""
"","186","Cleanup amanda4@pi6-host in green4","features","Tue May 13 16:39:23 UTC 2025","passed","Tue May 13 16:39:23 UTC 2025","","MindWM Ping-pong EDA test","",""
"","102696","Prepare environment, context: varanasi, username: shesha","features","Tue May 13 16:54:37 UTC 2025","passed","Tue May 13 16:56:20 UTC 2025","","MindWM two hosts one user function test","",""
"","80997","Create configmap with knative function definition","features","Tue May 13 16:26:24 UTC 2025","passed","Tue May 13 16:27:45 UTC 2025","","Mindwm event driven architecture","",""
"","10136","Create travellaptop for user shesha","features","Tue May 13 16:56:30 UTC 2025","passed","Tue May 13 16:56:40 UTC 2025","","MindWM two hosts one user function test","",""
