"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","485","Knative Eventing","features","Thu May 15 19:15:22 UTC 2025","passed","Thu May 15 19:15:23 UTC 2025","","Mindwm event driven architecture","",""
"","10424","Create User","features","Thu May 15 19:18:33 UTC 2025","passed","Thu May 15 19:18:43 UTC 2025","","MindWM Custom Resource Definition","",""
"","262943","Prepare environment, context: cyan","features","Thu May 15 19:18:56 UTC 2025","broken","Thu May 15 19:23:19 UTC 2025","","MindWM Custom kubernetes resources","",""
"","686","Knative operator","features","Thu May 15 19:15:21 UTC 2025","passed","Thu May 15 19:15:22 UTC 2025","","Mindwm event driven architecture","",""
"","71584","cleanup","features","Thu May 15 19:17:21 UTC 2025","passed","Thu May 15 19:18:33 UTC 2025","","Mindwm event driven architecture","",""
"","11915","Create Host","features","Thu May 15 19:18:43 UTC 2025","passed","Thu May 15 19:18:55 UTC 2025","","MindWM Custom Resource Definition","",""
"","701","MindWM CRD","features","Thu May 15 19:15:20 UTC 2025","passed","Thu May 15 19:15:21 UTC 2025","","Mindwm event driven architecture","",""
"","443","Redpanda","features","Thu May 15 19:15:23 UTC 2025","passed","Thu May 15 19:15:24 UTC 2025","","Mindwm event driven architecture","",""
"","263","Istio","features","Thu May 15 19:15:23 UTC 2025","passed","Thu May 15 19:15:23 UTC 2025","","Mindwm event driven architecture","",""
"","435","Tekton-pipelines","features","Thu May 15 19:15:26 UTC 2025","passed","Thu May 15 19:15:26 UTC 2025","","Mindwm event driven architecture","",""
"","247","Cert manager","features","Thu May 15 19:15:24 UTC 2025","passed","Thu May 15 19:15:24 UTC 2025","","Mindwm event driven architecture","",""
"","34020","Send ping message to the service","features","Thu May 15 19:16:47 UTC 2025","passed","Thu May 15 19:17:21 UTC 2025","","Mindwm event driven architecture","",""
"","66","Create Context","features","Thu May 15 19:18:33 UTC 2025","passed","Thu May 15 19:18:33 UTC 2025","","MindWM Custom Resource Definition","",""
"","306","Delete Resources and Verify Cleanup","features","Thu May 15 19:18:55 UTC 2025","passed","Thu May 15 19:18:56 UTC 2025","","MindWM Custom Resource Definition","",""
"","217","zot registry","features","Thu May 15 19:15:26 UTC 2025","passed","Thu May 15 19:15:26 UTC 2025","","Mindwm event driven architecture","",""
"","205","ArgoCD","features","Thu May 15 19:15:23 UTC 2025","passed","Thu May 15 19:15:23 UTC 2025","","Mindwm event driven architecture","",""
"","255","Nats","features","Thu May 15 19:15:24 UTC 2025","passed","Thu May 15 19:15:24 UTC 2025","","Mindwm event driven architecture","",""
"","916","Monitoring","features","Thu May 15 19:15:24 UTC 2025","passed","Thu May 15 19:15:25 UTC 2025","","Mindwm event driven architecture","",""
"","347","Knative Serving","features","Thu May 15 19:15:22 UTC 2025","passed","Thu May 15 19:15:22 UTC 2025","","Mindwm event driven architecture","",""
"","81030","Create configmap with knative function definition","features","Thu May 15 19:15:26 UTC 2025","passed","Thu May 15 19:16:47 UTC 2025","","Mindwm event driven architecture","",""
"","336","Crossplane","features","Thu May 15 19:15:25 UTC 2025","passed","Thu May 15 19:15:26 UTC 2025","","Mindwm event driven architecture","",""
"","1058373","Deploy Mindwm Cluster and Applications","features","Thu May 15 18:57:42 UTC 2025","passed","Thu May 15 19:15:20 UTC 2025","","Mindwm Lifecycle Management","",""
