"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100232","Prepare environment, context: philadelphia, username: flukeman, host: the-host","features","Fri May 16 16:34:17 UTC 2025","passed","Fri May 16 16:35:58 UTC 2025","","MindWM clipboard EDA test","",""
"","85498","Send cloudevent to ""broker-ingress.knative-eventing/context-red/context-broker""","features","Fri May 16 16:28:20 UTC 2025","passed","Fri May 16 16:29:45 UTC 2025","","MindWM io context function test","",""
"","141","Cleanup kitty@tablet in red","features","Fri May 16 16:29:45 UTC 2025","passed","Fri May 16 16:29:45 UTC 2025","","MindWM io context function test","",""
"","87705","Send ping directly to function broker-ingress.knative-eventing/context-philadelphia/context-broker","features","Fri May 16 16:37:07 UTC 2025","passed","Fri May 16 16:38:35 UTC 2025","","MindWM clipboard EDA test","",""
"","182845","Create Contexts and Verify All Related Resources Are in Ready State","features","Fri May 16 16:53:17 UTC 2025","passed","Fri May 16 16:56:20 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","76195","Send ping via nats host: travellaptop, user: shesha","features","Fri May 16 16:44:27 UTC 2025","passed","Fri May 16 16:45:43 UTC 2025","","MindWM two hosts one user function test","",""
"","69252","Send clipboard cloudevent to knative ping service","features","Fri May 16 16:35:58 UTC 2025","passed","Fri May 16 16:37:07 UTC 2025","","MindWM clipboard EDA test","",""
"","576","Knative operator","features","Fri May 16 16:13:17 UTC 2025","passed","Fri May 16 16:13:17 UTC 2025","","Mindwm event driven architecture","",""
"","89240","Prepare environment, context: tokyo","features","Fri May 16 16:47:06 UTC 2025","passed","Fri May 16 16:48:35 UTC 2025","","MindWM two users one context function test","",""
"","10276","Create User bob","features","Fri May 16 16:20:58 UTC 2025","passed","Fri May 16 16:21:08 UTC 2025","","MindWM Custom kubernetes resources","",""
"","196","Cleanup flukeman@the-host in philadelphia","features","Fri May 16 16:41:16 UTC 2025","passed","Fri May 16 16:41:16 UTC 2025","","MindWM clipboard EDA test","",""
