"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86258","Prepare environment, context: tokyo","features","Fri May 16 17:26:57 UTC 2025","passed","Fri May 16 17:28:23 UTC 2025","","MindWM two users one context function test","",""
"","203","Cleanup tablet host for tengu username","features","Fri May 16 17:31:46 UTC 2025","passed","Fri May 16 17:31:46 UTC 2025","","MindWM two users one context function test","",""
"","10141","Create godzilla and connects it to tokyo","features","Fri May 16 17:28:23 UTC 2025","passed","Fri May 16 17:28:33 UTC 2025","","MindWM two users one context function test","",""
"","229","Cert manager","features","Fri May 16 16:52:44 UTC 2025","passed","Fri May 16 16:52:44 UTC 2025","","Mindwm event driven architecture","",""
"","17196","Cleanup Contexts and Verify Resources Are Deleted","features","Fri May 16 17:36:38 UTC 2025","passed","Fri May 16 17:36:55 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","11505","Create Host","features","Fri May 16 16:57:36 UTC 2025","passed","Fri May 16 16:57:47 UTC 2025","","MindWM Custom Resource Definition","",""
"","21543","Send ping cloudevent to endpoint broker-ingress.knative-eventing/context-green4/context-broker, username: amanda4, host: pi6-host, traceparent: 00-5df92f3577b34da6a3ce929d0e0e4734-00f067aa0ba902b7-00","features","Fri May 16 17:04:06 UTC 2025","passed","Fri May 16 17:04:28 UTC 2025","","MindWM Ping-pong EDA test","",""
"","228","Cleanup tengu username","features","Fri May 16 17:31:46 UTC 2025","passed","Fri May 16 17:31:47 UTC 2025","","MindWM two users one context function test","",""
"","166","Cleanup garmr@helheim in blue","features","Fri May 16 17:13:48 UTC 2025","passed","Fri May 16 17:13:49 UTC 2025","","MindWM kafka_cdc function test","",""
"","180611","Create Contexts and Verify All Related Resources Are in Ready State","features","Fri May 16 17:33:19 UTC 2025","passed","Fri May 16 17:36:20 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","179","ArgoCD","features","Fri May 16 16:52:43 UTC 2025","passed","Fri May 16 16:52:44 UTC 2025","","Mindwm event driven architecture","",""
"","33823","Send ping message to the service","features","Fri May 16 16:54:03 UTC 2025","passed","Fri May 16 16:54:36 UTC 2025","","Mindwm event driven architecture","",""
"","772","Send ping to knative ping service, context: green4, username: amanda4, host: pi6-host","features","Fri May 16 17:04:06 UTC 2025","passed","Fri May 16 17:04:06 UTC 2025","","MindWM Ping-pong EDA test","",""
"","938","Monitoring","features","Fri May 16 16:52:44 UTC 2025","passed","Fri May 16 16:52:45 UTC 2025","","Mindwm event driven architecture","",""
"","339","Nats","features","Fri May 16 16:52:44 UTC 2025","passed","Fri May 16 16:52:44 UTC 2025","","Mindwm event driven architecture","",""
"","10257","Create workstation01 for user shesha","features","Fri May 16 17:22:40 UTC 2025","passed","Fri May 16 17:22:50 UTC 2025","","MindWM two hosts one user function test","",""
"","313","Tekton-pipelines","features","Fri May 16 16:52:46 UTC 2025","passed","Fri May 16 16:52:46 UTC 2025","","Mindwm event driven architecture","",""
