"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","628765","Deploy Mindwm Cluster and Applications","features","Wed May 21 19:03:40 UTC 2025","passed","Wed May 21 19:14:09 UTC 2025","","Mindwm Lifecycle Management","",""
"","313","Redpanda","features","Wed May 21 19:14:12 UTC 2025","passed","Wed May 21 19:14:12 UTC 2025","","Mindwm event driven architecture","",""
"","470","MindWM CRD","features","Wed May 21 19:14:09 UTC 2025","passed","Wed May 21 19:14:10 UTC 2025","","Mindwm event driven architecture","",""
"","184","Cert manager","features","Wed May 21 19:14:12 UTC 2025","passed","Wed May 21 19:14:12 UTC 2025","","Mindwm event driven architecture","",""
"","309","Tekton-pipelines","features","Wed May 21 19:14:14 UTC 2025","passed","Wed May 21 19:14:14 UTC 2025","","Mindwm event driven architecture","",""
"","313","Istio","features","Wed May 21 19:14:11 UTC 2025","passed","Wed May 21 19:14:12 UTC 2025","","Mindwm event driven architecture","",""
"","586","Knative operator","features","Wed May 21 19:14:10 UTC 2025","passed","Wed May 21 19:14:10 UTC 2025","","Mindwm event driven architecture","",""
"","327","Crossplane","features","Wed May 21 19:14:13 UTC 2025","passed","Wed May 21 19:14:14 UTC 2025","","Mindwm event driven architecture","",""
"","713","Monitoring","features","Wed May 21 19:14:13 UTC 2025","passed","Wed May 21 19:14:13 UTC 2025","","Mindwm event driven architecture","",""
"","333","Create configmap with knative function definition","features","Wed May 21 19:14:14 UTC 2025","failed","Wed May 21 19:14:15 UTC 2025","","Mindwm event driven architecture","",""
"","392","Knative Serving","features","Wed May 21 19:14:10 UTC 2025","passed","Wed May 21 19:14:11 UTC 2025","","Mindwm event driven architecture","",""
"","565","Knative Eventing","features","Wed May 21 19:14:11 UTC 2025","passed","Wed May 21 19:14:11 UTC 2025","","Mindwm event driven architecture","",""
"","213","Nats","features","Wed May 21 19:14:12 UTC 2025","passed","Wed May 21 19:14:13 UTC 2025","","Mindwm event driven architecture","",""
"","276","zot registry","features","Wed May 21 19:14:14 UTC 2025","passed","Wed May 21 19:14:14 UTC 2025","","Mindwm event driven architecture","",""
"","203","ArgoCD","features","Wed May 21 19:14:12 UTC 2025","passed","Wed May 21 19:14:12 UTC 2025","","Mindwm event driven architecture","",""
