"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","Send ping to knative ping service, context: green4, username: amanda4, host: pi6-host","features","Sun Jun 08 10:17:13 UTC 2025","passed","Sun Jun 08 10:17:13 UTC 2025","","MindWM Ping-pong EDA test","",""
"","75771","Create configmap with knative function definition","features","Sun Jun 08 10:05:39 UTC 2025","passed","Sun Jun 08 10:06:55 UTC 2025","","Mindwm event driven architecture","",""
"","180","Cleanup tengu username","features","Sun Jun 08 10:44:44 UTC 2025","passed","Sun Jun 08 10:44:44 UTC 2025","","MindWM two users one context function test","",""
"","10124","Create tablet resource and connects it to tengu user","features","Sun Jun 08 10:41:52 UTC 2025","passed","Sun Jun 08 10:42:02 UTC 2025","","MindWM two users one context function test","",""
"","76246","Send ping via nats host: workstation01, user: shesha","features","Sun Jun 08 10:35:51 UTC 2025","passed","Sun Jun 08 10:37:07 UTC 2025","","MindWM two hosts one user function test","",""
"","583222","Deploy Mindwm Cluster and Applications","features","Sun Jun 08 09:55:51 UTC 2025","passed","Sun Jun 08 10:05:34 UTC 2025","","Mindwm Lifecycle Management","",""
"","105488","Create context red, user kitty, host: tablet","features","Sun Jun 08 10:19:08 UTC 2025","passed","Sun Jun 08 10:20:53 UTC 2025","","MindWM io context function test","",""
"","33752","Send ping message to the service","features","Sun Jun 08 10:06:55 UTC 2025","passed","Sun Jun 08 10:07:28 UTC 2025","","Mindwm event driven architecture","",""
"","165","Cleanup flukeman@the-host in philadelphia","features","Sun Jun 08 10:33:45 UTC 2025","passed","Sun Jun 08 10:33:45 UTC 2025","","MindWM clipboard EDA test","",""
"","94221","Prepare environment, context: tokyo","features","Sun Jun 08 10:39:47 UTC 2025","passed","Sun Jun 08 10:41:21 UTC 2025","","MindWM two users one context function test","",""
"","72168","""Delete"" data capture event","features","Sun Jun 08 10:25:27 UTC 2025","passed","Sun Jun 08 10:26:39 UTC 2025","","MindWM kafka_cdc function test","",""
"","17190","Cleanup Contexts and Verify Resources Are Deleted","features","Sun Jun 08 10:49:16 UTC 2025","passed","Sun Jun 08 10:49:33 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","129","Cleanup ci@localhost in tratata","features","Sun Jun 08 10:53:25 UTC 2025","passed","Sun Jun 08 10:53:25 UTC 2025","","MindWM manager integration test","",""
"","208","Nats","features","Sun Jun 08 10:05:37 UTC 2025","passed","Sun Jun 08 10:05:37 UTC 2025","","Mindwm event driven architecture","",""
"","10202","Create User","features","Sun Jun 08 10:10:17 UTC 2025","passed","Sun Jun 08 10:10:27 UTC 2025","","MindWM Custom Resource Definition","",""
"","168799","cleanup","features","Sun Jun 08 10:07:28 UTC 2025","passed","Sun Jun 08 10:10:17 UTC 2025","","Mindwm event driven architecture","",""
