"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66361","Verification that the io-document has been delivered and processed","features","Fri May 23 20:28:53 UTC 2025","passed","Fri May 23 20:29:59 UTC 2025","","MindWM manager integration test","",""
"","10184","Create godzilla and connects it to tokyo","features","Fri May 23 20:17:39 UTC 2025","passed","Fri May 23 20:17:50 UTC 2025","","MindWM two users one context function test","",""
"","383","Knative Serving","features","Fri May 23 19:40:54 UTC 2025","passed","Fri May 23 19:40:54 UTC 2025","","Mindwm event driven architecture","",""
"","84622","Send cloudevent to ""broker-ingress.knative-eventing/context-red/context-broker""","features","Fri May 23 19:56:10 UTC 2025","passed","Fri May 23 19:57:34 UTC 2025","","MindWM io context function test","",""
"","21362","Send ping cloudevent to endpoint broker-ingress.knative-eventing/user-amanda4/user-broker, username: amanda4, host: pi6-host, traceparent: 00-6df93f3577b34da6a3ce929d0e0e4742-00f067aa0ba902b7-00","features","Fri May 23 19:52:41 UTC 2025","passed","Fri May 23 19:53:02 UTC 2025","","MindWM Ping-pong EDA test","",""
"","369","Knative Eventing","features","Fri May 23 19:40:54 UTC 2025","passed","Fri May 23 19:40:55 UTC 2025","","Mindwm event driven architecture","",""
"","1376","Delete Resources and Verify Cleanup","features","Fri May 23 19:46:09 UTC 2025","passed","Fri May 23 19:46:10 UTC 2025","","MindWM Custom Resource Definition","",""
"","21486","Send ping cloudevent to endpoint broker-ingress.knative-eventing/context-green4/context-broker, username: amanda4, host: pi6-host, traceparent: 00-5df92f3577b34da6a3ce929d0e0e4734-00f067aa0ba902b7-00","features","Fri May 23 19:52:19 UTC 2025","passed","Fri May 23 19:52:41 UTC 2025","","MindWM Ping-pong EDA test","",""
"","83","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Fri May 23 19:50:17 UTC 2025","passed","Fri May 23 19:50:17 UTC 2025","","MindWM Custom kubernetes resources","",""
"","10265","Create User bob","features","Fri May 23 19:48:40 UTC 2025","passed","Fri May 23 19:48:50 UTC 2025","","MindWM Custom kubernetes resources","",""
"","124636","Create environment","features","Fri May 23 19:57:35 UTC 2025","passed","Fri May 23 19:59:39 UTC 2025","","MindWM kafka_cdc function test","",""
"","196","zot registry","features","Fri May 23 19:40:58 UTC 2025","passed","Fri May 23 19:40:58 UTC 2025","","Mindwm event driven architecture","",""
"","10241","Create workstation01 for user shesha","features","Fri May 23 20:11:38 UTC 2025","passed","Fri May 23 20:11:48 UTC 2025","","MindWM two hosts one user function test","",""
"","541","Knative operator","features","Fri May 23 19:40:53 UTC 2025","passed","Fri May 23 19:40:54 UTC 2025","","Mindwm event driven architecture","",""
"","192","Cleanup kitty@tablet in red","features","Fri May 23 19:57:34 UTC 2025","passed","Fri May 23 19:57:35 UTC 2025","","MindWM io context function test","",""
"","11944","Create Host","features","Fri May 23 19:45:47 UTC 2025","passed","Fri May 23 19:45:59 UTC 2025","","MindWM Custom Resource Definition","",""
"","212","Nats","features","Fri May 23 19:40:56 UTC 2025","passed","Fri May 23 19:40:56 UTC 2025","","Mindwm event driven architecture","",""
"","597859","Deploy Mindwm Cluster and Applications","features","Fri May 23 19:30:55 UTC 2025","passed","Fri May 23 19:40:53 UTC 2025","","Mindwm Lifecycle Management","",""
"","18238","Cleanup Contexts and Verify Resources Are Deleted","features","Fri May 23 20:25:51 UTC 2025","passed","Fri May 23 20:26:09 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","76333","Send ping via nats host: workstation01, user: shesha","features","Fri May 23 20:11:58 UTC 2025","passed","Fri May 23 20:13:14 UTC 2025","","MindWM two hosts one user function test","",""
"","60","Create Context","features","Fri May 23 19:45:37 UTC 2025","passed","Fri May 23 19:45:37 UTC 2025","","MindWM Custom Resource Definition","",""
"","168895","cleanup","features","Fri May 23 19:42:48 UTC 2025","passed","Fri May 23 19:45:37 UTC 2025","","Mindwm event driven architecture","",""
"","97256","Create Contexts and Verify All Related Resources Are in Ready State","features","Fri May 23 20:21:04 UTC 2025","passed","Fri May 23 20:22:41 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","47824","""Create"" data capture event","features","Fri May 23 19:59:39 UTC 2025","passed","Fri May 23 20:00:27 UTC 2025","","MindWM kafka_cdc function test","",""
"","82520","Send iodocument via nats host: <host>, user: <username> and check that second user received graph update","features","Fri May 23 20:18:20 UTC 2025","passed","Fri May 23 20:19:43 UTC 2025","","MindWM two users one context function test","",""
"","544","MindWM CRD","features","Fri May 23 19:40:53 UTC 2025","passed","Fri May 23 19:40:53 UTC 2025","","Mindwm event driven architecture","",""
"","108","Cleanup tokyo context","features","Fri May 23 20:21:04 UTC 2025","passed","Fri May 23 20:21:04 UTC 2025","","MindWM two users one context function test","",""
