"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46877","""Create"" data capture event","features","Mon May 19 15:52:17 UTC 2025","passed","Mon May 19 15:53:04 UTC 2025","","MindWM kafka_cdc function test","",""
"","177","Delete Resources and Verify Cleanup","features","Mon May 19 15:38:42 UTC 2025","passed","Mon May 19 15:38:42 UTC 2025","","MindWM Custom Resource Definition","",""
"","17307","Cleanup Contexts and Verify Resources Are Deleted","features","Mon May 19 16:18:07 UTC 2025","passed","Mon May 19 16:18:24 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","554","MindWM CRD","features","Mon May 19 15:33:36 UTC 2025","passed","Mon May 19 15:33:37 UTC 2025","","Mindwm event driven architecture","",""
"","11701","Create Host","features","Mon May 19 15:38:30 UTC 2025","passed","Mon May 19 15:38:42 UTC 2025","","MindWM Custom Resource Definition","",""
"","67534","Verification that the io-document has been delivered and processed","features","Mon May 19 16:20:50 UTC 2025","passed","Mon May 19 16:21:58 UTC 2025","","MindWM manager integration test","",""
"","95128","Prepare environment, context: tokyo","features","Mon May 19 16:08:13 UTC 2025","passed","Mon May 19 16:09:48 UTC 2025","","MindWM two users one context function test","",""
"","10143","Create tengu and connects it to tokyo","features","Mon May 19 16:09:59 UTC 2025","passed","Mon May 19 16:10:09 UTC 2025","","MindWM two users one context function test","",""
"","102561","Prepare environment, context: varanasi, username: shesha","features","Mon May 19 16:02:12 UTC 2025","passed","Mon May 19 16:03:55 UTC 2025","","MindWM two hosts one user function test","",""
"","21445","Send ping cloudevent to endpoint broker-ingress.knative-eventing/context-green4/context-broker, username: amanda4, host: pi6-host, traceparent: 00-5df92f3577b34da6a3ce929d0e0e4734-00f067aa0ba902b7-00","features","Mon May 19 15:45:07 UTC 2025","passed","Mon May 19 15:45:28 UTC 2025","","MindWM Ping-pong EDA test","",""
"","112473","Prepare environment, context: philadelphia, username: flukeman, host: the-host","features","Mon May 19 15:54:58 UTC 2025","passed","Mon May 19 15:56:51 UTC 2025","","MindWM clipboard EDA test","",""
"","33859","Send ping message to the service","features","Mon May 19 15:34:57 UTC 2025","passed","Mon May 19 15:35:31 UTC 2025","","Mindwm event driven architecture","",""
"","226","ArgoCD","features","Mon May 19 15:33:38 UTC 2025","passed","Mon May 19 15:33:39 UTC 2025","","Mindwm event driven architecture","",""
"","602650","Deploy Mindwm Cluster and Applications","features","Mon May 19 15:23:33 UTC 2025","passed","Mon May 19 15:33:36 UTC 2025","","Mindwm Lifecycle Management","",""
"","214","Istio","features","Mon May 19 15:33:38 UTC 2025","passed","Mon May 19 15:33:38 UTC 2025","","Mindwm event driven architecture","",""
"","83922","Send cloudevent to ""broker-ingress.knative-eventing/context-red/context-broker""","features","Mon May 19 15:48:54 UTC 2025","passed","Mon May 19 15:50:17 UTC 2025","","MindWM io context function test","",""
"","35595","Prepare environment for ping tests","features","Mon May 19 15:44:31 UTC 2025","passed","Mon May 19 15:45:06 UTC 2025","","MindWM Ping-pong EDA test","",""
"","10137","Create travellaptop for user shesha","features","Mon May 19 16:04:05 UTC 2025","passed","Mon May 19 16:04:15 UTC 2025","","MindWM two hosts one user function test","",""
"","219","Send ping to knative ping service, context: green4, username: amanda4, host: pi6-host","features","Mon May 19 15:45:07 UTC 2025","passed","Mon May 19 15:45:07 UTC 2025","","MindWM Ping-pong EDA test","",""
"","76474","Send ping via nats host: travellaptop, user: shesha","features","Mon May 19 16:05:31 UTC 2025","passed","Mon May 19 16:06:48 UTC 2025","","MindWM two hosts one user function test","",""
"","92","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Mon May 19 15:41:30 UTC 2025","passed","Mon May 19 15:41:30 UTC 2025","","MindWM Custom kubernetes resources","",""
"","193","Cleanup flukeman@the-host in philadelphia","features","Mon May 19 16:02:12 UTC 2025","passed","Mon May 19 16:02:12 UTC 2025","","MindWM clipboard EDA test","",""
"","70495","Send clipboard cloudevent to knative ping service","features","Mon May 19 15:56:51 UTC 2025","passed","Mon May 19 15:58:01 UTC 2025","","MindWM clipboard EDA test","",""
"","397","Knative Eventing","features","Mon May 19 15:33:38 UTC 2025","passed","Mon May 19 15:33:38 UTC 2025","","Mindwm event driven architecture","",""
"","211","Cert manager","features","Mon May 19 15:33:39 UTC 2025","passed","Mon May 19 15:33:39 UTC 2025","","Mindwm event driven architecture","",""
"","78426","Send iodocument via nats host: <host>, user: <username> and check that second user received graph update","features","Mon May 19 16:11:54 UTC 2025","passed","Mon May 19 16:13:12 UTC 2025","","MindWM two users one context function test","",""
