"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","507","Knative Serving","features","Tue May 13 17:33:11 UTC 2025","passed","Tue May 13 17:33:12 UTC 2025","","Mindwm event driven architecture","",""
"","682","Knative operator","features","Tue May 13 17:33:11 UTC 2025","passed","Tue May 13 17:33:11 UTC 2025","","Mindwm event driven architecture","",""
"","372","Tekton-pipelines","features","Tue May 13 17:33:16 UTC 2025","passed","Tue May 13 17:33:16 UTC 2025","","Mindwm event driven architecture","",""
"","373","Crossplane","features","Tue May 13 17:33:15 UTC 2025","passed","Tue May 13 17:33:16 UTC 2025","","Mindwm event driven architecture","",""
"","892","MindWM CRD","features","Tue May 13 17:33:10 UTC 2025","passed","Tue May 13 17:33:11 UTC 2025","","Mindwm event driven architecture","",""
"","33889","Send ping message to the service","features","Tue May 13 17:34:33 UTC 2025","passed","Tue May 13 17:35:06 UTC 2025","","Mindwm event driven architecture","",""
"","76294","Create configmap with knative function definition","features","Tue May 13 17:33:16 UTC 2025","passed","Tue May 13 17:34:33 UTC 2025","","Mindwm event driven architecture","",""
"","10324","Create User","features","Tue May 13 17:36:44 UTC 2025","passed","Tue May 13 17:36:55 UTC 2025","","MindWM Custom Resource Definition","",""
"","341","Cert manager","features","Tue May 13 17:33:14 UTC 2025","passed","Tue May 13 17:33:14 UTC 2025","","Mindwm event driven architecture","",""
"","97839","cleanup","features","Tue May 13 17:35:06 UTC 2025","passed","Tue May 13 17:36:44 UTC 2025","","Mindwm event driven architecture","",""
"","562","Knative Eventing","features","Tue May 13 17:33:12 UTC 2025","passed","Tue May 13 17:33:12 UTC 2025","","Mindwm event driven architecture","",""
"","263","zot registry","features","Tue May 13 17:33:16 UTC 2025","passed","Tue May 13 17:33:16 UTC 2025","","Mindwm event driven architecture","",""
"","307","Delete Resources and Verify Cleanup","features","Tue May 13 17:37:07 UTC 2025","passed","Tue May 13 17:37:07 UTC 2025","","MindWM Custom Resource Definition","",""
"","578","Redpanda","features","Tue May 13 17:33:13 UTC 2025","passed","Tue May 13 17:33:14 UTC 2025","","Mindwm event driven architecture","",""
"","478","Istio","features","Tue May 13 17:33:12 UTC 2025","passed","Tue May 13 17:33:13 UTC 2025","","Mindwm event driven architecture","",""
"","226","ArgoCD","features","Tue May 13 17:33:13 UTC 2025","passed","Tue May 13 17:33:13 UTC 2025","","Mindwm event driven architecture","",""
"","277","Nats","features","Tue May 13 17:33:14 UTC 2025","passed","Tue May 13 17:33:14 UTC 2025","","Mindwm event driven architecture","",""
"","256216","Prepare environment, context: cyan","features","Tue May 13 17:37:07 UTC 2025","broken","Tue May 13 17:41:24 UTC 2025","","MindWM Custom kubernetes resources","",""
"","730604","Deploy Mindwm Cluster and Applications","features","Tue May 13 17:20:59 UTC 2025","passed","Tue May 13 17:33:10 UTC 2025","","Mindwm Lifecycle Management","",""
"","12462","Create Host","features","Tue May 13 17:36:55 UTC 2025","passed","Tue May 13 17:37:07 UTC 2025","","MindWM Custom Resource Definition","",""
"","75","Create Context","features","Tue May 13 17:36:44 UTC 2025","passed","Tue May 13 17:36:44 UTC 2025","","MindWM Custom Resource Definition","",""
"","683","Monitoring","features","Tue May 13 17:33:14 UTC 2025","passed","Tue May 13 17:33:15 UTC 2025","","Mindwm event driven architecture","",""
