"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","MindWM Custom kubernetes resources","8","0","","0"
"0","","0","Mindwm event driven architecture","16","0","","0"
"0","","0","MindWM io context function test","3","0","","0"
"0","","0","MindWM two users one context function test","12","0","","0"
"0","","0","MindWM clipboard EDA test","6","0","","0"
"0","","0","MindWM manager integration test","4","0","","0"
"0","","0","MindWM two hosts one user function test","9","0","","0"
"0","","0","Context Resource Readiness and Cleanup Verification","4","0","","0"
"0","","0","MindWM Custom Resource Definition","4","0","","0"
"0","","0","MindWM Ping-pong EDA test","6","0","","0"
"0","","0","MindWM kafka_cdc function test","5","0","","0"
"0","","0","Knative-Serving net-istio","1","0","","0"
"0","","0","Mindwm Lifecycle Management","1","0","","0"
