"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Cleanup tokyo context","features","Wed Jun 18 05:37:50 UTC 2025","passed","Wed Jun 18 05:37:50 UTC 2025","","MindWM two users one context function test","",""
"","98242","Prepare environment, context: tokyo","features","Wed Jun 18 05:32:49 UTC 2025","passed","Wed Jun 18 05:34:27 UTC 2025","","MindWM two users one context function test","",""
"","178","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Wed Jun 18 05:08:05 UTC 2025","passed","Wed Jun 18 05:08:05 UTC 2025","","MindWM Custom kubernetes resources","",""
"","362","Crossplane","features","Wed Jun 18 04:58:56 UTC 2025","passed","Wed Jun 18 04:58:57 UTC 2025","","Mindwm event driven architecture","",""
"","358","Send ping to knative ping service, context: green4, username: amanda4, host: pi6-host","features","Wed Jun 18 05:10:01 UTC 2025","passed","Wed Jun 18 05:10:02 UTC 2025","","MindWM Ping-pong EDA test","",""
"","10202","Create godzilla and connects it to tokyo","features","Wed Jun 18 05:34:27 UTC 2025","passed","Wed Jun 18 05:34:37 UTC 2025","","MindWM two users one context function test","",""
"","10141","Create laptop resource and connects it to godzilla user","features","Wed Jun 18 05:34:47 UTC 2025","passed","Wed Jun 18 05:34:57 UTC 2025","","MindWM two users one context function test","",""
"","197","zot registry","features","Wed Jun 18 04:58:57 UTC 2025","passed","Wed Jun 18 04:58:58 UTC 2025","","Mindwm event driven architecture","",""
"","76278","Send ping via nats topic ""org.mindwm.flukeman.the-host.clipboard""","features","Wed Jun 18 05:25:32 UTC 2025","passed","Wed Jun 18 05:26:49 UTC 2025","","MindWM clipboard EDA test","",""
"","250","Cert manager","features","Wed Jun 18 04:58:55 UTC 2025","passed","Wed Jun 18 04:58:55 UTC 2025","","Mindwm event driven architecture","",""
"","91325","Create Contexts and Verify All Related Resources Are in Ready State","features","Wed Jun 18 05:37:50 UTC 2025","passed","Wed Jun 18 05:39:22 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","92","Cleanup laptop host for godzilla username","features","Wed Jun 18 05:37:50 UTC 2025","passed","Wed Jun 18 05:37:50 UTC 2025","","MindWM two users one context function test","",""
"","103542","Prepare environment, context: varanasi, username: shesha","features","Wed Jun 18 05:26:49 UTC 2025","passed","Wed Jun 18 05:28:32 UTC 2025","","MindWM two hosts one user function test","",""
"","36839","Send ping message to the service","features","Wed Jun 18 05:00:28 UTC 2025","passed","Wed Jun 18 05:01:05 UTC 2025","","Mindwm event driven architecture","",""
"","75","Check that Node-RED contains the expected tabs for context,user,host xrd resources","features","Wed Jun 18 05:08:05 UTC 2025","passed","Wed Jun 18 05:08:05 UTC 2025","","MindWM Custom kubernetes resources","",""
"","433","Redpanda","features","Wed Jun 18 04:58:55 UTC 2025","passed","Wed Jun 18 04:58:55 UTC 2025","","Mindwm event driven architecture","",""
"","260","ArgoCD","features","Wed Jun 18 04:58:54 UTC 2025","passed","Wed Jun 18 04:58:55 UTC 2025","","Mindwm event driven architecture","",""
"","10351","Create User","features","Wed Jun 18 05:03:48 UTC 2025","passed","Wed Jun 18 05:03:59 UTC 2025","","MindWM Custom Resource Definition","",""
"","11551","Create Host","features","Wed Jun 18 05:03:59 UTC 2025","passed","Wed Jun 18 05:04:10 UTC 2025","","MindWM Custom Resource Definition","",""
"","75324","Send ping via nats host: travellaptop, user: shesha","features","Wed Jun 18 05:30:09 UTC 2025","passed","Wed Jun 18 05:31:24 UTC 2025","","MindWM two hosts one user function test","",""
"","79766","Delete Resources and Verify Cleanup","features","Wed Jun 18 05:08:05 UTC 2025","passed","Wed Jun 18 05:09:25 UTC 2025","","MindWM Custom kubernetes resources","",""
"","273","Delete Resources and Verify Cleanup","features","Wed Jun 18 05:04:20 UTC 2025","passed","Wed Jun 18 05:04:21 UTC 2025","","MindWM Custom Resource Definition","",""
"","48653","""Create"" data capture event","features","Wed Jun 18 05:17:02 UTC 2025","passed","Wed Jun 18 05:17:51 UTC 2025","","MindWM kafka_cdc function test","",""
"","17224","Cleanup Contexts and Verify Resources Are Deleted","features","Wed Jun 18 05:42:24 UTC 2025","passed","Wed Jun 18 05:42:41 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
"","280","Cleanup user shesha and context varanasi","features","Wed Jun 18 05:32:48 UTC 2025","passed","Wed Jun 18 05:32:49 UTC 2025","","MindWM two hosts one user function test","",""
"","167","Cleanup kitty@tablet in red","features","Wed Jun 18 05:15:07 UTC 2025","passed","Wed Jun 18 05:15:07 UTC 2025","","MindWM io context function test","",""
"","104532","Prepare environment, context: tratata, username: ci, host: localhost","features","Wed Jun 18 05:43:02 UTC 2025","passed","Wed Jun 18 05:44:47 UTC 2025","","MindWM manager integration test","",""
"","10145","Create tablet resource and connects it to tengu user","features","Wed Jun 18 05:34:57 UTC 2025","passed","Wed Jun 18 05:35:08 UTC 2025","","MindWM two users one context function test","",""
"","218","Cleanup tablet host for tengu username","features","Wed Jun 18 05:37:50 UTC 2025","passed","Wed Jun 18 05:37:50 UTC 2025","","MindWM two users one context function test","",""
"","162848","cleanup","features","Wed Jun 18 05:01:05 UTC 2025","passed","Wed Jun 18 05:03:48 UTC 2025","","Mindwm event driven architecture","",""
"","615515","Deploy Mindwm Cluster and Applications","features","Wed Jun 18 04:48:36 UTC 2025","passed","Wed Jun 18 04:58:52 UTC 2025","","Mindwm Lifecycle Management","",""
"","69933","Send clipboard cloudevent to knative ping service","features","Wed Jun 18 05:21:33 UTC 2025","passed","Wed Jun 18 05:22:43 UTC 2025","","MindWM clipboard EDA test","",""
"","182121","Create Contexts and Verify All Related Resources Are in Ready State","features","Wed Jun 18 05:39:22 UTC 2025","passed","Wed Jun 18 05:42:24 UTC 2025","","Context Resource Readiness and Cleanup Verification","",""
